County,Year,Population,Household Income,Area (sq mi),Density,Vehicles,Classification
Alameda,2020,1661584.0,104888.0,737.57,2252.7814309150317,4340,Urban
Alameda,2021,1673133.0,112017.0,737.57,2268.439605732337,4750,Urban
Alameda,2022,1663823.0,122488.0,737.57,2255.8170749894925,5580,Urban
Alpine,2020,1159.0,85750.0,738.62,1.5691424548482305,5,Rural
Alpine,2021,1344.0,96000.0,738.62,1.819609542119087,15,Rural
Alpine,2022,1515.0,101125.0,738.62,2.051122363326203,30,Rural
Amador,2020,39023.0,65187.0,592.97,65.80940013828693,130,Rural
Amador,2021,40095.0,69955.0,592.97,67.61724876469299,185,Rural
Amador,2022,40577.0,74853.0,592.97,68.43010607619271,235,Rural
Butte,2020,223344.0,54972.0,1639.49,136.22772935486034,365,Rural
Butte,2021,217884.0,59863.0,1639.49,132.89742541888026,430,Rural
Butte,2022,213605.0,66085.0,1639.49,130.28746744414423,550,Rural
Calaveras,2020,45828.0,67054.0,1020.04,44.92764989608251,220,Rural
Calaveras,2021,45349.0,70119.0,1020.04,44.458060468216935,250,Rural
Calaveras,2022,45674.0,77526.0,1020.04,44.776675424493156,350,Rural
Colusa,2020,21491.0,59427.0,1150.68,18.676782424305628,30,Rural
Colusa,2021,21780.0,61861.0,1150.68,18.92793826259255,60,Rural
Colusa,2022,21811.0,69619.0,1150.68,18.954878854242708,110,Rural
Contra Costa,2020,1147788.0,103997.0,719.95,1594.2607125494826,2435,Urban
Contra Costa,2021,1161643.0,110455.0,719.95,1613.5051045211471,2790,Urban
Contra Costa,2022,1162648.0,120020.0,719.95,1614.9010347940828,3370,Urban
Del Norte,2020,27692.0,49981.0,1007.81,27.47740149432929,85,Rural
Del Norte,2021,27655.0,53280.0,1007.81,27.44068822496304,100,Rural
Del Norte,2022,27462.0,61149.0,1007.81,27.249183873944496,110,Rural
El Dorado,2020,190345.0,83710.0,1710.85,111.2575620305696,560,Rural
El Dorado,2021,190568.0,88770.0,1710.85,111.38790659613643,685,Rural
El Dorado,2022,191713.0,99246.0,1710.85,112.05716456732034,790,Rural
Fresno,2020,990204.0,57109.0,5962.73,166.0655438029225,1355,Rural
Fresno,2021,1003150.0,61276.0,5962.73,168.23669694921622,1535,Rural
Fresno,2022,1008280.0,67756.0,5962.73,169.09704112042638,2070,Rural
Glenn,2020,28060.0,51682.0,1314.79,21.341811239817766,65,Rural
Glenn,2021,28675.0,56332.0,1314.79,21.80956654674891,85,Rural
Glenn,2022,28657.0,64033.0,1314.79,21.795876147521657,120,Rural
Humboldt,2020,136101.0,49235.0,3572.49,38.096957584205974,485,Rural
Humboldt,2021,137014.0,53350.0,3572.49,38.352521630571395,535,Rural
Humboldt,2022,136132.0,57881.0,3572.49,38.10563500527643,655,Rural
Imperial,2020,180580.0,46222.0,4174.73,43.25549197193592,145,Rural
Imperial,2021,180051.0,49078.0,4174.73,43.12877719038118,185,Rural
Imperial,2022,179578.0,53847.0,4174.73,43.01547644997402,270,Rural
Inyo,2020,17930.0,59296.0,10203.1,1.7573090531309112,45,Rural
Inyo,2021,18804.0,60925.0,10203.1,1.8429692936460487,70,Rural
Inyo,2022,18829.0,63417.0,10203.1,1.8454195293587243,105,Rural
Kern,2020,892458.0,54851.0,8140.96,109.62564611544585,955,Rural
Kern,2021,905644.0,58824.0,8140.96,111.24535681295572,1160,Rural
Kern,2022,906883.0,63883.0,8140.96,111.39755016607378,1580,Rural
Kings,2020,151090.0,61556.0,1390.99,108.62047893946038,125,Rural
Kings,2021,151887.0,63267.0,1390.99,109.19345214559415,140,Rural
Kings,2022,152515.0,68540.0,1390.99,109.6449291511801,210,Rural
Lake,2020,64276.0,49254.0,1257.96,51.09542433781678,245,Rural
Lake,2021,67749.0,53399.0,1257.96,53.85624344176285,270,Rural
Lake,2022,68024.0,56259.0,1257.96,54.07485134662469,345,Rural
Lassen,2020,30600.0,56971.0,4557.27,6.714546208585403,25,Rural
Lassen,2021,32949.0,59292.0,4557.27,7.229986373420929,40,Rural
Lassen,2022,31873.0,59515.0,4557.27,6.993880108047142,70,Rural
Los Angeles,2020,10040682.0,71358.0,4060.87,2472.5445532607546,18405,Urban
Los Angeles,2021,10019635.0,76367.0,4060.87,2467.3616737300135,20485,Urban
Los Angeles,2022,9936690.0,83411.0,4060.87,2446.936247651365,24990,Urban
Madera,2020,155925.0,61924.0,2135.86,73.00338037137266,220,Rural
Madera,2021,156304.0,66709.0,2135.86,73.18082645866302,255,Rural
Madera,2022,157243.0,73543.0,2135.86,73.62046201530062,350,Rural
Marin,2020,259441.0,121671.0,519.8,499.1169680646403,1535,Rural
Marin,2021,262387.0,131008.0,519.8,504.7845325125049,1675,Rural
Marin,2022,260485.0,142019.0,519.8,501.1254328587919,1955,Rural
Mariposa,2020,17319.0,50960.0,1451.12,11.93491923479795,45,Rural
Mariposa,2021,17225.0,53304.0,1451.12,11.870141683665032,55,Rural
Mariposa,2022,17130.0,60021.0,1451.12,11.80467500964772,75,Rural
Mendocino,2020,87110.0,52915.0,3508.97,24.824948631649743,465,Rural
Mendocino,2021,91534.0,56378.0,3508.97,26.085717461249313,540,Rural
Mendocino,2022,91145.0,61335.0,3508.97,25.974858719225303,680,Rural
