Zipcode,Population,Household Income,Year,state_fips,state,state_abbr,county,city
90001,57652.0,57698.0,2022,6,California,CA,Los Angeles,Los angeles
90001,58245.0,52806.0,2021,6,California,CA,Los Angeles,Los angeles
90001,58974.0,48011.0,2020,6,California,CA,Los Angeles,Los angeles
90001,59832.0,43360.0,2019,6,California,CA,Los Angeles,Los angeles
90001,58975.0,38521.0,2018,6,California,CA,Los Angeles,Los angeles
90002,53108.0,54221.0,2022,6,California,CA,Los Angeles,Los angeles
90002,54384.0,46159.0,2021,6,California,CA,Los Angeles,Los angeles
90002,53402.0,42245.0,2020,6,California,CA,Los Angeles,Los angeles
90002,53302.0,37285.0,2019,6,California,CA,Los Angeles,Los angeles
90002,53111.0,35410.0,2018,6,California,CA,Los Angeles,Los angeles
90003,75024.0,51275.0,2022,6,California,CA,Los Angeles,Los angeles
90003,75190.0,47733.0,2021,6,California,CA,Los Angeles,Los angeles
90003,74117.0,42220.0,2020,6,California,CA,Los Angeles,Los angeles
90003,73730.0,40598.0,2019,6,California,CA,Los Angeles,Los angeles
90003,72741.0,37226.0,2018,6,California,CA,Los Angeles,Los angeles
90004,58833.0,58420.0,2022,6,California,CA,Los Angeles,Los angeles
90004,59621.0,54947.0,2021,6,California,CA,Los Angeles,Los angeles
90004,61105.0,52775.0,2020,6,California,CA,Los Angeles,Los angeles
90004,60541.0,49675.0,2019,6,California,CA,Los Angeles,Los angeles
90004,61586.0,48754.0,2018,6,California,CA,Los Angeles,Los angeles
90005,37754.0,49226.0,2022,6,California,CA,Los Angeles,Los angeles
90005,36910.0,44913.0,2021,6,California,CA,Los Angeles,Los angeles
90005,38885.0,42398.0,2020,6,California,CA,Los Angeles,Los angeles
90005,39732.0,38491.0,2019,6,California,CA,Los Angeles,Los angeles
90005,39479.0,35149.0,2018,6,California,CA,Los Angeles,Los angeles
90006,56628.0,47599.0,2022,6,California,CA,Los Angeles,Los angeles
90006,57136.0,41068.0,2021,6,California,CA,Los Angeles,Los angeles
90006,58560.0,37375.0,2020,6,California,CA,Los Angeles,Los angeles
90006,59576.0,37072.0,2019,6,California,CA,Los Angeles,Los angeles
90006,61698.0,35411.0,2018,6,California,CA,Los Angeles,Los angeles
90007,41004.0,36326.0,2022,6,California,CA,Los Angeles,Los angeles
90007,41270.0,33222.0,2021,6,California,CA,Los Angeles,Los angeles
90007,42380.0,30530.0,2020,6,California,CA,Los Angeles,Los angeles
90007,42433.0,27406.0,2019,6,California,CA,Los Angeles,Los angeles
90007,41716.0,25226.0,2018,6,California,CA,Los Angeles,Los angeles
90008,33076.0,57880.0,2022,6,California,CA,Los Angeles,Los angeles
90008,31046.0,49379.0,2021,6,California,CA,Los Angeles,Los angeles
90008,31900.0,47230.0,2020,6,California,CA,Los Angeles,Los angeles
90008,31754.0,43364.0,2019,6,California,CA,Los Angeles,Los angeles
90008,31739.0,39907.0,2018,6,California,CA,Los Angeles,Los angeles
90010,4185.0,92454.0,2022,6,California,CA,Los Angeles,Los angeles
90010,4313.0,76547.0,2021,6,California,CA,Los Angeles,Los angeles
90010,4108.0,70500.0,2020,6,California,CA,Los Angeles,Los angeles
90010,3822.0,63112.0,2019,6,California,CA,Los Angeles,Los angeles
90010,3702.0,61849.0,2018,6,California,CA,Los Angeles,Los angeles
90011,106042.0,51819.0,2022,6,California,CA,Los Angeles,Los angeles
90011,109511.0,47126.0,2021,6,California,CA,Los Angeles,Los angeles
90011,110750.0,44616.0,2020,6,California,CA,Los Angeles,Los angeles
90011,111165.0,40940.0,2019,6,California,CA,Los Angeles,Los angeles
90011,109414.0,36954.0,2018,6,California,CA,Los Angeles,Los angeles
90012,38430.0,58444.0,2022,6,California,CA,Los Angeles,Los angeles
90012,39709.0,53278.0,2021,6,California,CA,Los Angeles,Los angeles
90012,37268.0,49905.0,2020,6,California,CA,Los Angeles,Los angeles
90012,36552.0,47027.0,2019,6,California,CA,Los Angeles,Los angeles
90012,35913.0,42275.0,2018,6,California,CA,Los Angeles,Los angeles
90013,14587.0,24853.0,2022,6,California,CA,Los Angeles,Los angeles
90013,13413.0,22291.0,2021,6,California,CA,Los Angeles,Los angeles
90013,13009.0,21175.0,2020,6,California,CA,Los Angeles,Los angeles
90013,12559.0,22316.0,2019,6,California,CA,Los Angeles,Los angeles
90013,11937.0,21676.0,2018,6,California,CA,Los Angeles,Los angeles
90014,9273.0,26550.0,2022,6,California,CA,Los Angeles,Los angeles
90014,8547.0,31332.0,2021,6,California,CA,Los Angeles,Los angeles
90014,9126.0,36429.0,2020,6,California,CA,Los Angeles,Los angeles
90014,8688.0,40641.0,2019,6,California,CA,Los Angeles,Los angeles
