County,Year,Population,Household Income
Alameda,2022,1663823.0,122488.0
Alameda,2021,1673133.0,112017.0
Alameda,2020,1661584.0,104888.0
Alameda,2019,1656754.0,99406.0
Alameda,2018,1643700.0,92574.0
Alpine,2022,1515.0,101125.0
Alpine,2021,1344.0,96000.0
Alpine,2020,1159.0,85750.0
Alpine,2019,1039.0,63750.0
Alpine,2018,1146.0,64688.0
Amador,2022,40577.0,74853.0
Amador,2021,40095.0,69955.0
Amador,2020,39023.0,65187.0
Amador,2019,38429.0,62772.0
Amador,2018,37829.0,61198.0
Butte,2022,213605.0,66085.0
Butte,2021,217884.0,59863.0
Butte,2020,223344.0,54972.0
Butte,2019,225817.0,52537.0
Butte,2018,227075.0,48443.0
Calaveras,2022,45674.0,77526.0
Calaveras,2021,45349.0,70119.0
Calaveras,2020,45828.0,67054.0
Calaveras,2019,45514.0,63158.0
Calaveras,2018,45235.0,58151.0
Colusa,2022,21811.0,69619.0
Colusa,2021,21780.0,61861.0
Colusa,2020,21491.0,59427.0
Colusa,2019,21454.0,59401.0
Colusa,2018,21464.0,56704.0
Contra Costa,2022,1162648.0,120020.0
Contra Costa,2021,1161643.0,110455.0
Contra Costa,2020,1147788.0,103997.0
Contra Costa,2019,1142251.0,99716.0
Contra Costa,2018,1133247.0,93712.0
Del Norte,2022,27462.0,61149.0
Del Norte,2021,27655.0,53280.0
Del Norte,2020,27692.0,49981.0
Del Norte,2019,27495.0,45283.0
Del Norte,2018,27424.0,45258.0
El Dorado,2022,191713.0,99246.0
El Dorado,2021,190568.0,88770.0
El Dorado,2020,190345.0,83710.0
El Dorado,2019,188563.0,83377.0
El Dorado,2018,186661.0,80582.0
Fresno,2022,1008280.0,67756.0
Fresno,2021,1003150.0,61276.0
Fresno,2020,990204.0,57109.0
Fresno,2019,984521.0,53969.0
Fresno,2018,978130.0,51261.0
Glenn,2022,28657.0,64033.0
Glenn,2021,28675.0,56332.0
Glenn,2020,28060.0,51682.0
Glenn,2019,27976.0,49633.0
