County,Year,Population,Household Income,Area (sq mi),Density
Alameda,2018,1643700.0,92574.0,737.57,2228.5342408178203
Alameda,2019,1656754.0,99406.0,737.57,2246.232899928142
Alameda,2020,1661584.0,104888.0,737.57,2252.7814309150317
Alameda,2021,1673133.0,112017.0,737.57,2268.439605732337
Alameda,2022,1663823.0,122488.0,737.57,2255.8170749894925
Alameda,2023,1668854.0,129966.0,737.57,2262.6381224832894
Alpine,2018,1146.0,64688.0,738.62,1.5515420649319
Alpine,2019,1039.0,63750.0,738.62,1.4066773171590263
Alpine,2020,1159.0,85750.0,738.62,1.5691424548482305
Alpine,2021,1344.0,96000.0,738.62,1.819609542119087
Alpine,2022,1515.0,101125.0,738.62,2.051122363326203
Alpine,2023,1607.0,110234.0,738.62,2.1756789688879263
Amador,2018,37829.0,61198.0,592.97,63.79580754506973
Amador,2019,38429.0,62772.0,592.97,64.80766311955074
Amador,2020,39023.0,65187.0,592.97,65.80940013828693
Amador,2021,40095.0,69955.0,592.97,67.61724876469299
Amador,2022,40577.0,74853.0,592.97,68.43010607619271
Amador,2023,41264.0,78267.0,592.97,69.58868070897347
Butte,2018,227075.0,48443.0,1639.49,138.50343704444674
Butte,2019,225817.0,52537.0,1639.49,137.7361252584645
Butte,2020,223344.0,54972.0,1639.49,136.22772935486034
Butte,2021,217884.0,59863.0,1639.49,132.89742541888026
Butte,2022,213605.0,66085.0,1639.49,130.28746744414423
Butte,2023,210237.0,70495.0,1639.49,128.23317007118067
Calaveras,2018,45235.0,58151.0,1020.04,44.34630014509235
Calaveras,2019,45514.0,63158.0,1020.04,44.619818830634095
Calaveras,2020,45828.0,67054.0,1020.04,44.92764989608251
Calaveras,2021,45349.0,70119.0,1020.04,44.458060468216935
Calaveras,2022,45674.0,77526.0,1020.04,44.776675424493156
Calaveras,2023,45784.0,82370.0,1020.04,44.88451433277127
Colusa,2018,21464.0,56704.0,1150.68,18.653318038029685
Colusa,2019,21454.0,59401.0,1150.68,18.644627524594153
Colusa,2020,21491.0,59427.0,1150.68,18.676782424305628
Colusa,2021,21780.0,61861.0,1150.68,18.92793826259255
Colusa,2022,21811.0,69619.0,1150.68,18.954878854242708
Colusa,2023,21898.0,72848.0,1150.68,19.03048632113185
Contra Costa,2018,1133247.0,93712.0,719.95,1574.0634766303215
Contra Costa,2019,1142251.0,99716.0,719.95,1586.5699006875477
Contra Costa,2020,1147788.0,103997.0,719.95,1594.2607125494826
Contra Costa,2021,1161643.0,110455.0,719.95,1613.5051045211471
Contra Costa,2022,1162648.0,120020.0,719.95,1614.9010347940828
Contra Costa,2023,1169998.0,126597.0,719.95,1625.1100770886867
Del Norte,2018,27424.0,45258.0,1007.81,27.211478354054833
Del Norte,2019,27495.0,45283.0,1007.81,27.281928141217097
Del Norte,2020,27692.0,49981.0,1007.81,27.47740149432929
Del Norte,2021,27655.0,53280.0,1007.81,27.44068822496304
Del Norte,2022,27462.0,61149.0,1007.81,27.249183873944496
Del Norte,2023,27472.0,65122.0,1007.81,27.259106379178615
El Dorado,2018,186661.0,80582.0,1710.85,109.10424642721455
El Dorado,2019,188563.0,83377.0,1710.85,110.21597451559167
El Dorado,2020,190345.0,83710.0,1710.85,111.2575620305696
El Dorado,2021,190568.0,88770.0,1710.85,111.38790659613643
El Dorado,2022,191713.0,99246.0,1710.85,112.05716456732034
El Dorado,2023,192976.0,103912.0,1710.85,112.79539410234679
Fresno,2018,978130.0,51261.0,5962.73,164.04063239489295
Fresno,2019,984521.0,53969.0,5962.73,165.1124568779737
Fresno,2020,990204.0,57109.0,5962.73,166.0655438029225
