county,Fuel,Year,Vehicles,Month,Los Angeles Dollars per Gallon,San Francisco Dollars per Gallon,Yearly,EV Amount,EV amount change in %,LA Annually Average Gasoline Price,LA Gas Price Change in %, SF Annually Average Gasoline Price ,SF Gas Price Change in %
Alameda,Battery Electric,2020,4340,18-Jan,$3.37 ,$3.28 ,2020,76020,,$3.12 ,-14.76%,$3.26 ,-13.31%
Alameda,Battery Electric,2021,4750,18-Feb,$3.52 ,$3.42 ,2021,85820,12.89%,$4.07 ,30.45%,$4.23 ,29.75%
Alameda,Battery Electric,2022,5580,18-Mar,$3.57 ,$3.53 ,2022,106275,23.83%,$5.38 ,32.19%,$5.52 ,30.50%
Alpine,Battery Electric,2020,5,18-Apr,$3.66 ,$3.70 ,,,,,,,
Alpine,Battery Electric,2021,15,18-May,$3.70 ,$3.77 ,,,,,,,
Alpine,Battery Electric,2022,30,18-Jun,$3.67 ,$3.77 ,,,,,,,
Amador,Battery Electric,2020,130,18-Jul,$3.59 ,$3.72 ,,,,,,,
Amador,Battery Electric,2021,185,18-Aug,$3.55 ,$3.64 ,,,,,,,
Amador,Battery Electric,2022,235,18-Sep,$3.58 ,$3.66 ,,,,,,,
Butte,Battery Electric,2020,365,18-Oct,$3.78 ,$3.83 ,,,,,,,
Butte,Battery Electric,2021,430,18-Nov,$3.62 ,$3.72 ,,,,,,,
Butte,Battery Electric,2022,550,18-Dec,$3.35 ,$3.52 ,,,,,,,
Calaveras,Battery Electric,2020,220,19-Jan,$3.21 ,$3.39 ,,,,,,,
Calaveras,Battery Electric,2021,250,19-Feb,$3.24 ,$3.35 ,,,,,,,
Calaveras,Battery Electric,2022,350,19-Mar,$3.34 ,$3.44 ,,,,,,,
Colusa,Battery Electric,2020,30,19-Apr,$3.90 ,$3.95 ,,,,,,,
Colusa,Battery Electric,2021,60,19-May,$3.98 ,$4.12 ,,,,,,,
Colusa,Battery Electric,2022,110,19-Jun,$3.75 ,$3.89 ,,,,,,,
Contra Costa,Battery Electric,2020,2435,19-Jul,$3.65 ,$3.76 ,,,,,,,
Contra Costa,Battery Electric,2021,2790,19-Aug,$3.53 ,$3.64 ,,,,,,,
Contra Costa,Battery Electric,2022,3370,19-Sep,$3.69 ,$3.74 ,,,,,,,
Del Norte,Battery Electric,2020,85,19-Oct,$4.10 ,$4.17 ,,,,,,,
Del Norte,Battery Electric,2021,100,19-Nov,$3.93 ,$4.00 ,,,,,,,
Del Norte,Battery Electric,2022,110,19-Dec,$3.61 ,$3.67 ,,,,,,,
El Dorado,Battery Electric,2020,560,20-Jan,$3.50 ,$3.56 ,,,,,,,
El Dorado,Battery Electric,2021,685,20-Feb,$3.47 ,$3.53 ,,,,,,,
El Dorado,Battery Electric,2022,790,20-Mar,$3.28 ,$3.31 ,,,,,,,
